Entwicklerfähigkeiten	Haben wir Entwickler mit Erfahrung in der ausgewählten Programmiersprache?	IHK-AP1 software
Verfügbare Tools und Frameworks	Die Verwendung von passenden Tools und Frameworks kann die Entwicklung erheblich vereinfachen	IHK-AP1 software
Zukünftige Perspektive	Wird die Programmiersprache weiter gepflegt und unterstützt?	IHK-AP1 software
Nennen Sie ein allgemeingültiges Kriterium, welches für die Auswahl der Programmiersprache von Bedeutung ist und geben Sie dazu eine kurze Begründung an.	Anforderungen des Projekts – Einige Sprachen eignen sich besser für bestimmte Anwendungsfälle und Aufgaben als andere.<br><br>Entwicklerfähigkeiten – Haben wir Entwickler mit Erfahrung in der ausgewählten Programmiersprache?<br><br>Verfügbare Tools und Frameworks – Die Verwendung von passenden Tools und Frameworks kann die Entwicklung erheblich vereinfachen<br>und beschleunigen.<br><br>Zukünftige Perspektive – Wird die Programmiersprache weiter gepflegt und unterstützt?<br><br>u. a.	IHK-AP1 software
Erläutern Sie den wesentlichen Unterschied zwischen den beiden Übersetzungsarten.	Compiler-Sprachen übersetzen den Code im Voraus in Maschinencode, was eine schnelle Ausführung ermöglicht.<br><br>Interpreter-Sprachen interpretieren und führen den Code zeilenweise zur Laufzeit aus.	IHK-AP1 hardware
Arbeitsspeicher 1	DDR4 und DDR5 sind nicht miteinander kompatibel.	IHK-AP1 hardware software
Nennen Sie drei Vorteile einer SSD gegenüber einer HDD.	Schnellere Lese- und Schreibgeschwindigkeiten<br><br>Spürbarer Leistungsschub bei Wechsel von HDD<br><br>Geringer Energiebedarf<br><br>Lautlos-Betrieb<br><br>Kompakte Bauform<br><br>Kein Datenverlust durch Erschütterung<br><br>u. a.	IHK-AP1 hardware
Beschreiben Sie eine Gefahr durch Phishingmails.	Es können Zugangsdaten gestohlen werden, dadurch können Angreifer an sicherheitskritische Informationen gelangen.	IHK-AP1 netzwerk
Nennen Sie drei Anzeichen, an denen der User erkennen kann, dass es sich um eine Phishingmail handelt.	Fehler in der Mail<br><br>Keine persönliche Anrede<br><br>Aufbau von Zeitdruck, z. B. durch Fristsetzungen<br><br>Aufforderung zur Eingabe von persönlichen Daten<br><br>u. a.	IHK-AP1 itsicherheit
Nennen Sie zwei Maßnahmen, die Sie dem Unternehmen zum Schutz vor Phishingmails empfehlen.	Bei der Wahl des E-Mail-Programms auf gute Spamfilter achten<br><br>Phishing-Angriffe zu Übungszwecken simulieren<br><br>Schulung der Mitarbeiter<br><br>u. a.	IHK-AP1 itsicherheit
Nennen Sie zwei Maßnahmen, die das Unternehmen den Mitarbeitern beim Empfang von Mails vorgibt, um sich vor Phishingmail zu schützen.	Keine Übermittlung von User/Passwort per E-Mail<br><br>Keine Links aus E-Mails ausführen<br><br>Keine Anhänge aus unbekannten Quellen ausführen<br><br>Verdachtsfälle an die IT melden<br><br>u. a.	IHK-AP1 itsicherheit
Beschreiben Sie zwei dieser Möglichkeiten.	Der Leasingnehmer gibt die Maschine an den Leasinggeber zurück.<br><br>Der Leasingvertrag kann unter Anpassung der Leasingraten verlängert und die Maschine weiter genutzt werden.<br><br>Der Leasingnehmer kann die Maschine dem Leasinggeber abkaufen.<br><br>Die Maschine wird nach Ablauf der Vertragslaufzeit gegen einen anderen Vertragsgegenstand ausgewechselt.<br><br>Auch andere sinnvolle Antworten sind möglich.	IHK-AP1 kalkulation datenschutz
Beschreiben Sie zwei ökologische Aspekte, die bei einer Neuinvestition zu beachten sind.	Neue Maschinen …<br><br>könnten einen geringeren Energieverbrauch haben.<br><br>benötigen u. U. aufgrund der geringeren Ausschussquote weniger Material.<br><br>weisen geringere Emissionswerte (Lärm, Wärmestrahlung, Staub, Schmutz etc.) auf.<br><br>verbrauchen bei deren Produktion zusätzliche Ressourcen.<br><br>erzwingen meist die Entsorgung der alten Maschinen.<br><br>Auch andere Lösungen sind möglich.	IHK-AP1 arbeitsplatz kalkulation
Matrix	je komplett richtige Spalte 2 Punkte	IHK-AP1 kalkulation hardware
Nennen Sie das Gerät, das Sie aufgrund der Entscheidungsmatrix auswählen.	Das Modell 2 wird gewählt, weil es gemäß Entscheidungsmatrix am besten bewertet wurde.	IHK-AP1 hardware kalkulation
Benennen Sie die beiden Symbole.	Symbol 1: WLAN<br>Symbol 2: Bluetooth	IHK-AP1 netzwerk hardware
